date,name,value
2020-12-01,ruiru,1
2020-12-01,nakuru,2
2020-12-01,webuye,1
2020-12-01,lower kabete,1
2020-12-01,githurai 45,1
2020-12-01,umoja 1,1
2020-12-01,imara daima,1
2020-12-01,bamburi,2
2020-12-01,naivasha,3
2020-12-01,kayole,1
2020-12-01,kisii,1
2020-12-01,limuru,1
2020-12-01,syokimau,1
2020-12-01,wangige,2
2020-12-01,thogoto,1
2020-12-01,uthiru,1
2020-12-01,kangemi,3
2020-12-01,siaya,2
2020-12-01,meru,1
2020-12-01,ngong,10
2020-12-01,ruaka,55
2020-12-01,kirigiti,1
2020-12-01,loresho,1
2020-12-01,kasarani,7
2020-12-01,mtwapa,1
2020-12-01,south b,2
2020-12-01,eldoret,2
2020-12-01,ndenderu,1
2020-12-01,vihiga,2
2020-12-01,kinoo,7
2020-12-01,muthiga,2
2020-12-01,kajiado,1
2020-12-01,buruburu phase 1,1
2020-12-01,rongai,1
2020-12-01,gatundu,1
2020-12-01,katani,2
2020-12-01,mishomoroni,1
2020-12-01,juja,2
2020-12-01,rosslyn,1
2020-12-01,joyland,4
2020-12-01,gachie,4
2020-12-01,komarock,4
2020-12-01,machakos,3
2020-12-01,nyali,1
2020-12-01,kitui,1
2020-12-01,donholm,3
2020-12-01,karen,2
2020-12-01,highrise,1
2020-12-01,south c,1
2020-12-01,kikuyu,1
2020-12-02,kayole,2
2020-12-02,limuru,1
2020-12-02,vihiga,3
2020-12-02,katani,2
2020-12-02,karen,3
2020-12-02,bamburi,2
2020-12-02,kitui,1
2020-12-02,kakamega,1
2020-12-02,siaya,4
2020-12-02,donholm,4
2020-12-02,nyeri,1
2020-12-02,muthiga,3
2020-12-02,ruiru,13
2020-12-02,thogoto,1
2020-12-02,kericho,1
2020-12-02,eldoret,2
2020-12-02,garissa,2
2020-12-02,gatundu,1
2020-12-02,kileleshwa,3
2020-12-02,syokimau,1
2020-12-02,rongai,3
2020-12-02,ndenderu,1
2020-12-02,south b,2
2020-12-02,highrise,1
2020-12-02,lodwar,1
2020-12-02,kajiado,1
2020-12-02,kitengela,1
2020-12-02,parklands,1
2020-12-02,kikuyu,2
2020-12-02,githurai 45,2
2020-12-02,tassia,1
2020-12-02,kasarani,20
2020-12-02,umoja 1,1
2020-12-02,trm,1
2020-12-02,kinoo,9
2020-12-02,lavington,1
2020-12-02,uthiru,1
2020-12-02,waithaka,2
2020-12-02,mishomoroni,1
2020-12-02,komarock,4
2020-12-02,mtwapa,3
2020-12-02,wangige,3
2020-12-02,joyland,4
2020-12-02,kisii,3
2020-12-02,webuye,1
2020-12-02,utawala,2
2020-12-02,athiriver,1
2020-12-02,muranga,1
2020-12-02,kabati,1
2020-12-02,naivasha,3
2020-12-02,ngong,19
2020-12-02,kilimani,2
2020-12-02,fedha,2
2020-12-02,kenol,2
2020-12-02,kabiria,1
2020-12-02,buruburu phase 1,2
2020-12-02,juja,5
2020-12-02,migori,1
2020-12-02,imara daima,1
2020-12-02,kirigiti,1
2020-12-02,kangemi,3
2020-12-02,ongata rongai,1
2020-12-02,nakuru,4
2020-12-02,ukunda,3
2020-12-02,rosslyn,2
2020-12-02,ruaka,63
2020-12-02,gachie,4
2020-12-02,meru,1
2020-12-02,nyali,6
2020-12-02,loresho,1
2020-12-02,roysambu,1
2020-12-02,south c,7
2020-12-02,machakos,7
2020-12-02,lower kabete,4
2020-12-03,kawangware,1
2020-12-03,manyatta,1
2020-12-03,kinoo,12
2020-12-03,embu,1
2020-12-03,ruaka,66
2020-12-03,bamburi,2
2020-12-03,kajiado,1
2020-12-03,webuye,1
2020-12-03,kisii,4
2020-12-03,naivasha,8
2020-12-03,ukunda,3
2020-12-03,fedha,3
2020-12-03,kabiria,2
2020-12-03,kakamega,1
2020-12-03,stage mpya,1
2020-12-03,nyeri,1
2020-12-03,lavington,2
2020-12-03,bungoma,1
2020-12-03,lower kabete,4
2020-12-03,thogoto,1
2020-12-03,komarock,4
2020-12-03,umoja 1,1
2020-12-03,katani,2
2020-12-03,loresho,1
2020-12-03,mishomoroni,1
2020-12-03,kayole,5
2020-12-03,lodwar,1
2020-12-03,ongata rongai,1
2020-12-03,riverside,1
2020-12-03,vihiga,4
2020-12-03,nakuru,6
2020-12-03,ngong,37
2020-12-03,gachie,5
2020-12-03,gatundu,1
2020-12-03,mtwapa,4
2020-12-03,kileleshwa,5
2020-12-03,ruiru,26
2020-12-03,nyayo estate,3
2020-12-03,githurai 44,1
2020-12-03,waithaka,2
2020-12-03,ndenderu,2
2020-12-03,kirigiti,1
2020-12-03,limuru,2
2020-12-03,eldoret,2
2020-12-03,githurai 45,2
2020-12-03,syokimau,2
2020-12-03,tassia,1
2020-12-03,kabati,1
2020-12-03,rongai,5
2020-12-03,muthiga,4
2020-12-03,garissa,2
2020-12-03,joyland,4
2020-12-03,nyali,7
2020-12-03,uthiru,3
2020-12-03,machakos,7
2020-12-03,kericho,1
2020-12-03,dagoretti corner,1
2020-12-03,lucky summer,17
2020-12-03,nyamira,1
2020-12-03,runyenjes,1
2020-12-03,south c,7
2020-12-03,highrise,1
2020-12-03,siaya,4
2020-12-03,muranga,1
2020-12-03,donholm,4
2020-12-03,kitengela,8
2020-12-03,kasarani,65
2020-12-03,kenol,3
2020-12-03,westlands,1
2020-12-03,riara road,1
2020-12-03,athiriver,1
2020-12-03,meru,1
2020-12-03,kangemi,9
2020-12-03,ngong town,2
2020-12-03,kariobangi south,4
2020-12-03,ngara,1
2020-12-03,juja,15
2020-12-03,karen,5
2020-12-03,south b,2
2020-12-03,ruai,1
2020-12-03,parklands,1
2020-12-03,imara daima,3
2020-12-03,pipeline,2
2020-12-03,riruta,3
2020-12-03,kilimani,2
2020-12-03,kikuyu,3
2020-12-03,trm,1
2020-12-03,muchatha,1
2020-12-03,wangige,4
2020-12-03,roysambu,1
2020-12-03,utawala,3
2020-12-03,buruburu phase 1,2
2020-12-03,migori,2
2020-12-03,rosslyn,2
2020-12-03,kitui,2
2020-12-03,kondele,1
2020-12-04,githurai 44,1
2020-12-04,kariobangi south,4
2020-12-04,machakos,10
2020-12-04,kinoo,14
2020-12-04,lower kabete,4
2020-12-04,mishomoroni,2
2020-12-04,githurai 45,3
2020-12-04,westlands,1
2020-12-04,riara road,1
2020-12-04,bungoma,1
2020-12-04,muranga,1
2020-12-04,katani,4
2020-12-04,nanyuki,1
2020-12-04,langata,1
2020-12-04,kondele,1
2020-12-04,kiserian,1
2020-12-04,dagoretti corner,1
